Rider,Team
VERMEERSCH Florian,UAE Team Emirates - XRG (WT)
WELLENS Tim,UAE Team Emirates - XRG (WT)
BALLERINI Davide,XDS Astana Team (WT)
BETTIOL Alberto,XDS Astana Team (WT)
BOL Cees,XDS Astana Team (WT)
GAZZOLI Michele,XDS Astana Team (WT)
ROMELE Alessandro,XDS Astana Team (WT)
SCHELLING Ide,XDS Astana Team (WT)
TEUNISSEN Mike,XDS Astana Team (WT)
SHEEHAN Riley,Israel - Premier Tech (PRT)
BLACKMORE Joseph,Israel - Premier Tech (PRT)
BOIVIN Guillaume,Israel - Premier Tech (PRT)
CÔTÉ Pier-André,Israel - Premier Tech (PRT)
HOFSTETTER Hugo,Israel - Premier Tech (PRT)
LOUVEL Matis,Israel - Premier Tech (PRT)
PICKRELL Riley,Israel - Premier Tech (PRT)
RAISBERG Nadav,Israel - Premier Tech (PRT)
DE LIE Arnaud,Lotto (PRT)
BEULLENS Cedric,Lotto (PRT)
DE BUYST Jasper,Lotto (PRT)
GRIGNARD Sébastien,Lotto (PRT)
SLOCK Liam,Lotto (PRT)
VAN MOER Brent,Lotto (PRT)
ABRAHAMSEN Jonas,Uno-X Mobility (PRT)
HVIDEBERG Jonas Iversby,Uno-X Mobility (PRT)
BLUME LEVY William,Uno-X Mobility (PRT)
RESELL Erik Nordsæter,Uno-X Mobility (PRT)
SKAARSETH Anders,Uno-X Mobility (PRT)
TILLER Rasmus,Uno-X Mobility (PRT)
WÆRENSKJOLD Søren,Uno-X Mobility (PRT)
PIDCOCK Thomas,Q36.5 Pro Cycling Team (PRT)
CHRISTEN Fabio,Q36.5 Pro Cycling Team (PRT)
FRISON Frederik,Q36.5 Pro Cycling Team (PRT)
NIZZOLO Giacomo,Q36.5 Pro Cycling Team (PRT)
PARISINI Nicolò,Q36.5 Pro Cycling Team (PRT)
STEIMLE Jannik,Q36.5 Pro Cycling Team (PRT)
ZUKOWSKY Nickolas,Q36.5 Pro Cycling Team (PRT)
VERCOUILLIE Victor,Team Flanders - Baloise (PRT)
COLMAN Alex,Team Flanders - Baloise (PRT)
DE VYLDER Lindsay,Team Flanders - Baloise (PRT)
MARIS Elias,Team Flanders - Baloise (PRT)
VAN HEMELEN Vincent,Team Flanders - Baloise (PRT)
VAN POUCKE Aaron,Team Flanders - Baloise (PRT)
VANDENSTORME Dylan,Team Flanders - Baloise (PRT)
VANHOOF Ward,Team Flanders - Baloise (PRT)
TRENTIN Matteo,Tudor Pro Cycling Team (PRT)
FROIDEVAUX Robin,Tudor Pro Cycling Team (PRT)
KELEMEN Petr,Tudor Pro Cycling Team (PRT)
KRIEGER Alexander,Tudor Pro Cycling Team (PRT)
LIENHARD Fabian,Tudor Pro Cycling Team (PRT)
MAYRHOFER Marius,Tudor Pro Cycling Team (PRT)
PLUIMERS Rick,Tudor Pro Cycling Team (PRT)
DE VRIES Hartthijs,Unibet Tietema Rockets (PRT)
HUENS Axel,Unibet Tietema Rockets (PRT)
JOHANNINK Jelle,Unibet Tietema Rockets (PRT)
KOPECKÝ Tomáš,Unibet Tietema Rockets (PRT)
KUBIŠ Lukáš,Unibet Tietema Rockets (PRT)
STOKBRO Andreas,Unibet Tietema Rockets (PRT)
STOCKMAN Abram,Unibet Tietema Rockets (PRT)
